rc_number,sources,status
BR24PA3129,renewbuy,deny
OD09G1011,renewbuy,deny
BR31PA3174,renewbuy,deny
WB65C6937,renewbuy,deny
PB05AP6251,renewbuy,deny
UP30K3065,renewbuy,deny
MH02FG2218,renewbuy,deny
OD33G1479,renewbuy,deny
MH11BH9624,renewbuy,deny
OR25A7171,renewbuy,deny
OR02BR1380,renewbuy,deny
JH05AH1533,renewbuy,deny
OR05AK4807,renewbuy,deny
OR13G0820,renewbuy,deny
TN22CX4674,renewbuy,deny
TN07BX3782,renewbuy,deny
PB11S6161,renewbuy,deny
MH01VA4892,renewbuy,deny
PB01B1047,renewbuy,deny
PB25D0081,renewbuy,deny
BR01PF4018,renewbuy,deny
PB13BE8134,renewbuy,deny
PB08AT7417,renewbuy,deny
PB13AL8896,renewbuy,deny
PB05V9239,renewbuy,deny
MH04FF5833,renewbuy,deny
BR01PF4480,renewbuy,deny
UP67C9428,renewbuy,deny
TN09CT9739,renewbuy,deny
PB08AT3252,renewbuy,deny
PB09J7901,renewbuy,deny
PB01C2917,renewbuy,deny
OD04D4699,renewbuy,deny
PB08BF8864,renewbuy,deny
PB08EQ2049,renewbuy,deny
OR05AC8788,renewbuy,deny
TN02AW6239,renewbuy,deny
WB970910,renewbuy,deny
WB053864,renewbuy,deny
WB25G0969,renewbuy,deny
GJ11AB9629,renewbuy,deny
JK01Q9518,renewbuy,deny
PB01A9938,renewbuy,deny
TN02T0441,renewbuy,deny
MH31DC8495,renewbuy,deny
HR26CH6087,renewbuy,deny
PB10DM9494,renewbuy,deny
OD14N8021,renewbuy,deny
TN22BR0228,renewbuy,deny
TN14D8613,renewbuy,deny
UP81G6998,renewbuy,deny
DL3CAJ6727,renewbuy,deny
PB46AA2055,renewbuy,deny
DL3CBZ1017,renewbuy,deny
PB65R6915,renewbuy,deny
PB10CA1920,renewbuy,deny
PB11AS0261,renewbuy,deny
PB10BT0838,renewbuy,deny
PB08BG1437,renewbuy,deny
PB09L5610,renewbuy,deny
TN19D2379,renewbuy,deny
PB08DQ7860,renewbuy,deny
KA53mg7451,renewbuy,deny
TN22BP4943,renewbuy,deny
MH16BC1373,renewbuy,deny
PB08BW1911,renewbuy,deny
PB11AC7711,renewbuy,deny
